mes_aplicacion,semilla_undersampling,semilla_public,ganancia_public_inalcanzable,probabilidad_corte,ganancia_public,ganancia_private,ganancia_completa
201912,102191,222163,16747500,0.46,16747500,15180938,15494250
201912,102191,920687,16473750,0.44,16271250,15324375,15513750
201912,102191,167213,16237500,0.42,16117500,15424688,15563250
201912,102191,325673,14632500,0.32,14632500,15526875,15348000
201912,102191,132233,14996250,0.29,14996250,15060938,15048000
201912,102191,284227,15022500,0.34,14902500,15540000,15412500
201912,102191,876181,15521250,0.42,15386250,15607500,15563250
201912,102191,978233,15172500,0.42,15093750,15680625,15563250
201912,102191,355457,14778750,0.38,14696250,15899062,15658500
201912,102191,641513,13890000,0.43,13890000,15990000,15570000
201912,102191,737969,17276250,0.42,17175000,15160312,15563250
201912,102191,838139,14115000,0.31,13961250,15586875,15261750
201912,102191,544759,14666250,0.29,14471250,15192188,15048000
201912,102191,617791,15135000,0.45,14936250,15645000,15503250
201912,102191,577169,14771250,0.38,14737500,15888750,15658500
201912,102191,414241,17167500,0.39,17167500,15225000,15613500
201912,102191,415823,14827500,0.29,14523750,15179062,15048000
201912,102191,992917,15967500,0.41,15967500,15429375,15537000
201912,102191,433861,16833750,0.39,16736250,15332812,15613500
201912,102191,730421,15712500,0.43,15712500,15534375,15570000
201912,102191,586237,16762500,0.38,16736250,15389062,15658500
201912,102191,123701,14913750,0.32,14853750,15471562,15348000
201912,102191,221077,14546250,0.44,14508750,15765000,15513750
201912,102191,476167,15795000,0.38,15795000,15624375,15658500
201912,102191,794569,15165000,0.37,15030000,15718125,15580500
201912,102191,380909,15817500,0.4,15817500,15555000,15607500
201912,102191,631039,16991250,0.35,16991250,15167812,15532500
201912,102191,862541,15540000,0.44,15528750,15510000,15513750
201912,102191,260551,14643750,0.37,14643750,15814688,15580500
201912,102191,219983,16563750,0.45,16541250,15243750,15503250
201912,102191,217121,16380000,0.46,16380000,15272812,15494250
201912,102191,976957,15277500,0.42,15277500,15634688,15563250
201912,102191,432559,17501250,0.45,17501250,15003750,15503250
201912,102191,628861,16132500,0.47,16050000,15151875,15331500
201912,102191,944297,15543750,0.36,15296250,15508125,15465750
201912,102191,236627,16545000,0.41,16428750,15314062,15537000
201912,102191,546613,16695000,0.39,16593750,15368438,15613500
201912,102191,493123,15671250,0.47,15645000,15253125,15331500
201912,102191,618841,17006250,0.37,16683750,15304688,15580500
201912,102191,289031,15502500,0.25,15363750,14483438,14659500
201912,102191,627091,16252500,0.34,16181250,15220312,15412500
201912,102191,990719,16432500,0.37,16211250,15422812,15580500
201912,102191,461921,16653750,0.4,16526250,15377812,15607500
201912,102191,216803,15146250,0.35,15146250,15629062,15532500
201912,102191,615101,16428750,0.42,16113750,15425625,15563250
201912,102191,482117,15502500,0.46,15502500,15492188,15494250
201912,102191,358243,15663750,0.47,15663750,15248438,15331500
201912,102191,981983,15521250,0.38,15521250,15692812,15658500
201912,102191,712883,15630000,0.38,15427500,15716250,15658500
201912,102191,213173,16245000,0.44,16245000,15330938,15513750
201912,102191,400249,16593750,0.4,16593750,15360938,15607500
201912,102191,953501,17917500,0.46,17883750,14896875,15494250
