mes_aplicacion	semilla_undersampling	semilla_public	ganancia_public_inalcanzable	probabilidad_corte	ganancia_public	ganancia_private	ganancia_completa	
202001	102191	862633	11617500	0.58	11610000	11197500	11280000	
202001	102191	376837	11051250	0.4	10807500	12030938	11786250	
202001	102191	624479	12675000	0.49	12652500	11632500	11836500	
202001	102191	618997	12416250	0.54	12243750	11607188	11734500	
202001	102191	501623	12791250	0.53	12791250	11616562	11851500	
202001	102191	553309	12457500	0.5	12457500	11760000	11899500	
202001	102191	983429	12206250	0.37	12176250	11523750	11654250	
202001	102191	999331	12630000	0.4	12630000	11575312	11786250	
202001	102191	517393	13215000	0.45	13158750	11605312	11916000	
202001	102191	693743	12296250	0.45	12273750	11826562	11916000	
202001	102191	198851	11673750	0.4	11666250	11816250	11786250	
202001	102191	516223	11257500	0.53	11257500	1.2e+07	11851500	
202001	102191	507607	11876250	0.51	11775000	11957812	11921250	
202001	102191	123817	10436250	0.47	10357500	12200625	11832000	
202001	102191	433337	10185000	0.39	9825000	12276562	11786250	
202001	102191	537157	12907500	0.45	12907500	11668125	11916000	
202001	102191	684379	11493750	0.37	11268750	11750625	11654250	
202001	102191	840727	11542500	0.45	11542500	12009375	11916000	
202001	102191	833857	13132500	0.35	12896250	11289375	11610750	
202001	102191	938023	12510000	0.52	12457500	11798438	11930250	
202001	102191	380059	12843750	0.51	12817500	11697188	11921250	
202001	102191	333337	13245000	0.39	13170000	11440312	11786250	
202001	102191	318137	11816250	0.53	11816250	11860312	11851500	
202001	102191	369191	12030000	0.43	12030000	11784375	11833500	
202001	102191	235289	12476250	0.39	11831250	11775000	11786250	
202001	102191	500111	12963750	0.5	12952500	11636250	11899500	
202001	102191	513017	12232500	0.35	12232500	11455312	11610750	
202001	102191	210193	12682500	0.45	12461250	11779688	11916000	
202001	102191	924841	12487500	0.51	12401250	11801250	11921250	
202001	102191	520837	11658750	0.51	11523750	12020625	11921250	
202001	102191	390281	14351250	0.48	14351250	11267812	11884500	
202001	102191	404461	12900000	0.42	12840000	11584688	11835750	
202001	102191	384173	12318750	0.34	12228750	11445938	11602500	
202001	102191	348989	12120000	0.51	12120000	11871562	11921250	
202001	102191	793627	12191250	0.39	11726250	11801250	11786250	
202001	102191	440723	11493750	0.42	11475000	11925938	11835750	
202001	102191	210467	10260000	0.54	10117500	12138750	11734500	
202001	102191	319519	11242500	0.36	11242500	11757188	11654250	
202001	102191	331249	13162500	0.48	13162500	11565000	11884500	
202001	102191	875617	11857500	0.39	11595000	11834062	11786250	
202001	102191	779983	13027500	0.48	12986250	11609062	11884500	
202001	102191	546613	10995000	0.49	10796250	12096562	11836500	
202001	102191	190543	10173750	0.53	10173750	12270938	11851500	
202001	102191	465079	12273750	0.42	12131250	11761875	11835750	
202001	102191	840197	12952500	0.38	12952500	11491875	11784000	
202001	102191	246317	13597500	0.46	13346250	11408438	11796000	
202001	102191	425791	12401250	0.47	12303750	11714062	11832000	
202001	102191	115763	12296250	0.53	12202500	11763750	11851500	
202001	102191	584473	11182500	0.46	10946250	12008438	11796000	
202001	102191	691051	13188750	0.52	13125000	11631562	11930250	
202001	102191	442577	11253750	0.35	11250000	11700938	11610750	
202001	102191	223303	12052500	0.34	11921250	11522812	11602500	
202001	102191	425329	11666250	0.33	11467500	11416875	11427000	
