mes_aplicacion	semilla_undersampling	semilla_public	ganancia_public_inalcanzable	probabilidad_corte	ganancia_public	ganancia_private	ganancia_completa	
201912	102191	346721	16522500	0.41	16522500	14582812	14970750	
201912	102191	747841	15615000	0.34	15371250	15198750	15233250	
201912	102191	913331	15671250	0.46	15570000	14335312	14582250	
201912	102191	112967	13035000	0.38	13023750	15575625	15065250	
201912	102191	136603	16672500	0.4	16601250	14665312	15052500	
201912	102191	687749	15135000	0.26	14928750	14910938	14914500	
201912	102191	870329	15183750	0.53	14580000	13959375	14083500	
201912	102191	339023	15206250	0.31	15206250	15234375	15228750	
201912	102191	101419	14628750	0.38	14628750	15174375	15065250	
201912	102191	562313	15735000	0.35	15656250	15184688	15279000	
201912	102191	682789	15753750	0.4	15573750	14922188	15052500	
201912	102191	631471	1.5e+07	0.4	14842500	15105000	15052500	
201912	102191	692851	14666250	0.31	14666250	15369375	15228750	
201912	102191	917713	15645000	0.33	15645000	14940000	15081000	
201912	102191	450929	15378750	0.34	15157500	15252188	15233250	
201912	102191	265471	15090000	0.41	15067500	14946562	14970750	
201912	102191	806329	15258750	0.37	15202500	14951250	15001500	
201912	102191	611081	14115000	0.35	13875000	15630000	15279000	
201912	102191	721057	15840000	0.34	15783750	15095625	15233250	
201912	102191	401867	15453750	0.34	15453750	15178125	15233250	
201912	102191	992723	16031250	0.29	16031250	14789062	15037500	
201912	102191	830617	15318750	0.54	15191250	13745625	14034750	
201912	102191	880247	16252500	0.4	15543750	14929688	15052500	
201912	102191	897133	14895000	0.41	14591250	15065625	14970750	
201912	102191	628781	17107500	0.34	17025000	14785312	15233250	
201912	102191	300667	15150000	0.35	15146250	15312188	15279000	
201912	102191	145549	16740000	0.3	16451250	14784375	15117750	
201912	102191	538597	17328750	0.35	17328750	14766562	15279000	
201912	102191	871867	14182500	0.3	14040000	15387188	15117750	
201911	102191	191453	14032500	0.37	13732500	12208125	12513000	
201911	102191	984323	11861250	0.46	11647500	12444375	12285000	
201911	102191	372277	13290000	0.44	13140000	12009375	12235500	
201911	102191	221987	12540000	0.27	12408750	12238125	12272250	
201911	102191	711143	13057500	0.34	12967500	12352500	12475500	
201911	102191	457829	14325000	0.32	14325000	12020625	12481500	
201911	102191	884491	11977500	0.45	11475000	12508125	12301500	
201911	102191	627733	13650000	0.38	13481250	12180938	12441000	
201911	102191	671249	12251250	0.39	12108750	12488438	12412500	
